Year,Country1,Country2,Whole_count,Fractional_count
1951,GBR,USA,1,0.333333333
1951,GBR,USA,1,0.333333333
1951,GBR,GBR,1,0.333333333
1958,AUS,GBR,1,1
1959,GBR,GBR,1,0.166666667
1959,GBR,USA,1,0.166666667
1959,GBR,GBR,1,0.166666667
1959,GBR,USA,1,0.166666667
1959,GBR,GBR,1,0.166666667
1959,GBR,USA,1,0.166666667
1962,GBR,USA,1,1
1964,AUS,USA,1,1
1965,GBR,USA,1,1
1965,GBR,USA,1,0.166666667
1965,GBR,USA,1,0.166666667
1965,GBR,USA,1,0.166666667
1965,GBR,USA,1,0.166666667
1965,GBR,GBR,1,0.166666667
1965,GBR,HUN,1,1
1967,CAN,USA,1,1
1967,GBR,USA,1,1
1970,GBR,USA,1,0.166666667
1970,GBR,GBR,1,0.166666667
1970,GBR,GBR,1,0.166666667
1970,GBR,USA,1,0.166666667
1970,GBR,USA,1,0.166666667
1970,GBR,GBR,1,0.166666667
1971,GBR,GBR,1,0.333333333
1971,GBR,IND,1,0.333333333
1971,GBR,IND,1,0.333333333
1971,GBR,LUX,1,1
1972,CAN,USA,1,1
1972,CAN,USA,1,0.333333333
1972,CAN,USA,1,0.333333333
1972,CAN,IND,1,0.333333333
1972,CAN,USA,1,0.333333333
1972,AUS,CAN,1,1
1973,CAN,GBR,1,1
1973,CAN,IRL,1,1
1973,CAN,IRL,1,1
1973,NZL,USA,1,1
1973,GBR,USA,1,1
1974,CAN,GBR,1,0.166666667
1974,CAN,GBR,1,0.166666667
1974,CAN,GBR,1,0.166666667
1974,CAN,CAN,1,0.166666667
1974,CAN,CAN,1,0.166666667
1974,CAN,CAN,1,0.166666667
1974,GBR,NOR,1,1
1974,CAN,EGY,1,1
1974,CAN,USA,1,1
1974,GBR,NPL,1,1
1974,EGY,GBR,1,1
1974,CAN,GBR,1,0.166666667
1974,CAN,GBR,1,0.166666667
1974,CAN,GBR,1,0.166666667
1974,GBR,GBR,1,0.166666667
1974,GBR,GBR,1,0.166666667
1974,GBR,GBR,1,0.166666667
1974,GBR,USA,1,1
1974,AUS,GBR,1,1
1976,BRA,GBR,1,1
1976,CAN,MAR,1,1
1976,CAN,GBR,1,1
1976,CAN,USA,1,1
1976,EGY,GBR,1,1
1976,AUS,CAN,1,1
1976,CAN,USA,1,1
1976,CAN,ISR,1,0.333333333
1976,CAN,USA,1,1
1977,CAN,CAN,1,0.333333333
1977,CAN,USA,1,0.333333333
1977,CAN,USA,1,0.333333333
1977,CAN,ISR,1,0.333333333
1977,CAN,ISR,1,0.333333333
1977,CAN,CAN,1,0.333333333
1977,CAN,USA,1,0.1
1977,CAN,USA,1,0.1
1977,CAN,USA,1,0.1
1977,CAN,USA,1,0.1
1977,AUS,GBR,1,0.333333333
1977,GBR,USA,1,1
1977,GBR,PRT,1,0.333333333
1977,CAN,DEU,1,1
1977,GBR,USA,1,0.333333333
1977,CAN,GBR,1,1
1978,BRA,CAN,1,1
1978,CAN,USA,1,0.333333333
1978,CAN,USA,1,0.333333333
1978,GBR,SAU,1,0.333333333
1978,GBR,GBR,1,0.333333333
1978,GBR,SAU,1,0.333333333
1978,CAN,USA,1,1
1978,CAN,CAN,1,0.333333333
1978,CAN,USA,1,0.333333333
1978,CAN,USA,1,0.333333333
1978,GBR,USA,1,1
1978,CAN,JPN,1,1
1979,CAN,GBR,1,1
1979,CAN,CAN,1,0.333333333
1979,CAN,USA,1,0.333333333
1979,CAN,USA,1,0.333333333
1979,FRA,GBR,1,0.015151515
1979,FRA,GBR,1,0.015151515
